Chapter number,Macro book,Era,13-chapter cluster,10-chapter Walter cycle,Year or approximate year,Location,POV character or artifact type,Chapter title,Word target,Immediate human conflict,World-system advanced,Walter visible or invisible role,Canon event touched,Divergence status,New lore introduced,Character introduced or developed,Consequence seeded,Payoff target chapter,Editing warning
451,Book III: Routes,Era 5: The Free Labor Engine,35.09 Partial victory,Walter-shadow 1/9,202,Braavos,slave laundress,The Free Labor Engine: Partial victory,750,"slave laundress needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Braavos.,slave laundress developed; tie to Braavos and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 451 returns with altered stakes.",Ch. 503,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
452,Book III: Routes,Era 5: The Free Labor Engine,35.10 Walter chapter / shadow reveal,Walter-shadow 2/9,202,Pentos,temple slave novice,The Free Labor Engine: Walter chapter / shadow reveal,750,"temple slave novice needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Pentos.,temple slave novice developed; tie to Pentos and war and security.,"A material habit, debt, enemy, record, or route from chapter 452 returns with altered stakes.",Ch. 517,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
453,Book III: Routes,Era 5: The Free Labor Engine,35.11 Second-order consequence,Walter-shadow 3/9,202,Slaver's Bay,dock ration clerk,The Free Labor Engine: Second-order consequence,750,"dock ration clerk needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Slaver's Bay.,dock ration clerk developed; tie to Slaver's Bay and health and biology.,"A material habit, debt, enemy, record, or route from chapter 453 returns with altered stakes.",Ch. 531,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
454,Book III: Routes,Era 5: The Free Labor Engine,35.12 Moral complication,Walter-shadow 4/9,203,freedman workshops,dyer widow,The Free Labor Engine: Moral complication,750,"dyer widow needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to freedman workshops.,dyer widow developed; tie to freedman workshops and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 454 returns with altered stakes.",Ch. 545,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
455,Book III: Routes,Era 5: The Free Labor Engine,35.13 Label-ledger-law-song artifact,Walter-shadow 5/9,203,Volantis,lantern code slip,The Free Labor Engine: Label-ledger-law-song artifact,750,"lantern code slip needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Volantis.,lantern code slip developed; tie to Volantis and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 455 returns with altered stakes.",Ch. 468,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
456,Book III: Routes,Era 6: The Sea and the Road,36.01 Opening pressure,Walter-shadow 6/9,204,Narrow Sea,slaver accountant,The Sea and the Road: Opening pressure,750,"slaver accountant needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Narrow Sea.,slaver accountant developed; tie to Narrow Sea and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 456 returns with altered stakes.",Ch. 482,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
457,Book III: Routes,Era 6: The Sea and the Road,36.02 Local character introduced,Walter-shadow 7/9,204,Rhoyne ports,ship caulker,The Sea and the Road: Local character introduced,750,"ship caulker needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Knowledge and printing,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Knowledge and printing rule tagged as canon-compatible inference or fic invention; localized to Rhoyne ports.,ship caulker developed; tie to Rhoyne ports and knowledge and printing.,"A material habit, debt, enemy, record, or route from chapter 457 returns with altered stakes.",Ch. 496,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
458,Book III: Routes,Era 6: The Sea and the Road,36.03 Material system problem,Walter-shadow 8/9,205,Stepstones,freedwoman organizer,The Sea and the Road: Material system problem,750,"freedwoman organizer needs a concrete survival, status, food, safety, or truth win before local power closes the option.",War and security,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,War and security rule tagged as canon-compatible inference or fic invention; localized to Stepstones.,freedwoman organizer developed; tie to Stepstones and war and security.,"A material habit, debt, enemy, record, or route from chapter 458 returns with altered stakes.",Ch. 510,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
459,Book III: Routes,Era 6: The Sea and the Road,36.04 Social consequence,Walter-shadow 9/9,205,Oldtown,Braavosi notary,The Sea and the Road: Social consequence,750,"Braavosi notary needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Health and biology,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Health and biology rule tagged as canon-compatible inference or fic invention; localized to Oldtown.,Braavosi notary developed; tie to Oldtown and health and biology.,"A material habit, debt, enemy, record, or route from chapter 459 returns with altered stakes.",Ch. 524,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
460,Book III: Routes,Era 6: The Sea and the Road,36.05 Hidden Walter effect,Walter POV,205,Sothorys quarantine camp,Walter White,The Sea and the Road: Hidden Walter effect,750,"Walter White needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Travel and communication,Direct interior decision reframes prior nine chapters.,None,Fic invention,Travel and communication rule tagged as canon-compatible inference or fic invention; localized to Sothorys quarantine camp.,Walter White developed; tie to Sothorys quarantine camp and travel and communication.,"A material habit, debt, enemy, record, or route from chapter 460 returns with altered stakes.",Ch. 538,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
461,Book III: Routes,Era 6: The Sea and the Road,36.06 Unexpected cost,Walter-shadow 1/9,206,Narrow Sea,midwife,The Sea and the Road: Unexpected cost,750,"midwife needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Magic and prophecy,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Magic and prophecy rule tagged as canon-compatible inference or fic invention; localized to Narrow Sea.,midwife developed; tie to Narrow Sea and magic and prophecy.,"A material habit, debt, enemy, record, or route from chapter 461 returns with altered stakes.",Ch. 552,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
462,Book III: Routes,Era 6: The Sea and the Road,36.07 Counterforce reaction,Walter-shadow 2/9,206,Rhoyne ports,sellsword quartermaster,The Sea and the Road: Counterforce reaction,750,"sellsword quartermaster needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Governance and freedom,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Governance and freedom rule tagged as canon-compatible inference or fic invention; localized to Rhoyne ports.,sellsword quartermaster developed; tie to Rhoyne ports and governance and freedom.,"A material habit, debt, enemy, record, or route from chapter 462 returns with altered stakes.",Ch. 475,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
463,Book III: Routes,Era 6: The Sea and the Road,36.08 Adaptation,Walter-shadow 3/9,206,Stepstones,wildling mother,The Sea and the Road: Adaptation,750,"wildling mother needs a concrete survival, status, food, safety, or truth win before local power closes the option.",Commerce and labor,"Invisible method, alias, ledger mark, price signal, manual, or rumor alters choices.",None,Fic invention,Commerce and labor rule tagged as canon-compatible inference or fic invention; localized to Stepstones.,wildling mother developed; tie to Stepstones and commerce and labor.,"A material habit, debt, enemy, record, or route from chapter 463 returns with altered stakes.",Ch. 489,"Keep scene under 900 words; no tech leap, no worshipful Walter, tag canon status."
